 epsilon =   9.99999993922529029E-009
 iteration:          500
 relative error =   5.49501557818211526E-004
 iteration:         1000
 relative error =   1.70323743169829037E-004
 iteration:         1500
 relative error =   6.12114540364069084E-005
 iteration:         2000
 relative error =   2.25384304266846509E-005
 iteration:         2500
 relative error =   8.35964535153492275E-006
 iteration:         3000
 relative error =   3.10882879600908660E-006
 iteration:         3500
 relative error =   1.15725940385589347E-006
 iteration:         4000
 relative error =   4.30946077248999775E-007
 iteration:         4500
 relative error =   1.60499662089030660E-007
 iteration:         5000
 relative error =   5.97788124169836941E-008
 iteration:         5500
 relative error =   2.22653038927788791E-008
 iteration:         5905
  48  20 0.01753063
  49  20 0.00878265
   1  21 0.00944940
   2  21 0.01886150
   3  21 0.02819917
   4  21 0.03742555
   5  21 0.04650423
   6  21 0.05539937
   7  21 0.06407588
   8  21 0.07249951
   9  21 0.08063702
  10  21 0.08845629
  11  21 0.09592647
  12  21 0.10301807
  13  21 0.10970310
  14  21 0.11595518
  15  21 0.12174964
  16  21 0.12706361
  17  21 0.13187612
  18  21 0.13616818
  19  21 0.13992284
  20  21 0.14312529
  21  21 0.14576289
  22  21 0.14782523
  23  21 0.14930417
  24  21 0.15019388
  25  21 0.15049084
  26  21 0.15019388
  27  21 0.14930417
  28  21 0.14782523
  29  21 0.14576289
  30  21 0.14312529
  31  21 0.13992284
  32  21 0.13616818
  33  21 0.13187612
  34  21 0.12706361
  35  21 0.12174964
  36  21 0.11595518
  37  21 0.10970310
  38  21 0.10301807
  39  21 0.09592647
  40  21 0.08845629
  41  21 0.08063702
  42  21 0.07249951
  43  21 0.06407588
  44  21 0.05539937
  45  21 0.04650423
  46  21 0.03742555
  47  21 0.02819917
  48  21 0.01886150
  49  21 0.00944940
   1  22 0.01015344
   2  22 0.02026681
   3  22 0.03030020
   4  22 0.04021400
   5  22 0.04996910
   6  22 0.05952700
   7  22 0.06884997
   8  22 0.07790122
   9  22 0.08664502
  10  22 0.09504688
  11  22 0.10307364
  12  22 0.11069361
  13  22 0.11787672
  14  22 0.12459462
  15  22 0.13082081
  16  22 0.13653071
  17  22 0.14170178
  18  22 0.14631363
  19  22 0.15034803
  20  22 0.15378909
  21  22 0.15662321
  22  22 0.15883920
  23  22 0.16042834
  24  22 0.16138433
  25  22 0.16170342
  26  22 0.16138433
  27  22 0.16042834
  28  22 0.15883920
  29  22 0.15662321
  30  22 0.15378909
  31  22 0.15034803
  32  22 0.14631363
  33  22 0.14170178
  34  22 0.13653071
  35  22 0.13082081
  36  22 0.12459462
  37  22 0.11787672
